Nome,Apelido,Cargo,Departamento,Gestor,DataAdmissao,Email,Telefone,TipoConta,DepartamentoAnterior
Ricardo,Almeida,Diretor Geral,Direcao,,2015-03-10,ricardo.almeida@nortada.local,912 340 001,normal,
Beatriz,Sousa,Assistente de Direção,Direcao,Ricardo Almeida,2019-06-01,beatriz.sousa@nortada.local,913 220 452,normal,
Manuel,Ferreira,Diretor Financeiro,Financeira,Ricardo Almeida,2016-02-15,manuel.ferreira@nortada.local,914 556 231,normal,
Carla,Mendes,Analista Financeiro,Financeira,Manuel Ferreira,2018-09-01,carla.mendes@nortada.local,916 774 108,normal,
João,Rodrigues,Analista Financeiro,Financeira,Manuel Ferreira,2020-01-20,joao.rodrigues@nortada.local,917 302 894,normal,
Sofia,Carvalho,Técnica de Contabilidade,Financeira,Manuel Ferreira,2021-05-11,sofia.carvalho@nortada.local,918 445 620,normal,
Paulo,Martins,Técnico de Tesouraria,Financeira,Manuel Ferreira,2017-11-03,paulo.martins@nortada.local,919 130 077,normal,
Isabel,Correia,Diretora de Recursos Humanos,RecursosHumanos,Ricardo Almeida,2015-07-01,isabel.correia@nortada.local,912 887 340,normal,
Ana,Pereira,Tecnico de Recursos Humanos,RecursosHumanos,Isabel Correia,2019-03-14,ana.pereira@nortada.local,913 456 782,normal,
Tiago,Lopes,Tecnico de Recursos Humanos,RecursosHumanos,Isabel Correia,2022-02-01,tiago.lopes@nortada.local,914 209 651,normal,
Marta,Gonçalves,Técnica de Recrutamento,RecursosHumanos,Isabel Correia,2020-08-17,marta.goncalves@nortada.local,916 093 428,normal,
Hugo,Nunes,Diretor de IT,IT,Ricardo Almeida,2016-04-05,hugo.nunes@nortada.local,917 664 519,normal,
Rui,Pinto,Tecnico de Suporte IT,IT,Hugo Nunes,2019-10-21,rui.pinto@nortada.local,918 271 903,normal,
Rui,Pinto,Administrador de Sistemas,IT,Hugo Nunes,2019-10-21,rui.pinto@nortada.local,918 271 903,administrativa,
Filipe,Costa,Tecnico de Suporte IT,IT,Hugo Nunes,2021-01-11,filipe.costa@nortada.local,919 548 236,normal,
Filipe,Costa,Administrador de Rede,IT,Hugo Nunes,2021-01-11,filipe.costa@nortada.local,919 548 236,administrativa,
André,Teixeira,Técnico de Infraestruturas,IT,Hugo Nunes,2018-06-25,andre.teixeira@nortada.local,912 630 897,normal,
André,Teixeira,Administrador de Sistemas,IT,Hugo Nunes,2018-06-25,andre.teixeira@nortada.local,912 630 897,administrativa,
Cátia,Ribeiro,Tecnico de Suporte IT,IT,Hugo Nunes,2022-09-05,catia.ribeiro@nortada.local,913 785 042,normal,
Cristina,Azevedo,Diretora de Marketing,Marketing,Ricardo Almeida,2017-03-01,cristina.azevedo@nortada.local,914 902 356,normal,
Miguel,Fonseca,Tecnico de Marketing,Marketing,Cristina Azevedo,2019-11-18,miguel.fonseca@nortada.local,916 341 789,normal,
Diana,Vieira,Tecnico de Marketing,Marketing,Cristina Azevedo,2020-07-09,diana.vieira@nortada.local,917 528 604,normal,
Bruno,Cardoso,Técnico de Comunicação Digital,Marketing,Cristina Azevedo,2021-04-22,bruno.cardoso@nortada.local,918 067 231,normal,
Patrícia,Moreira,Técnica de Design Gráfico,Marketing,Cristina Azevedo,2022-06-13,patricia.moreira@nortada.local,919 483 715,normal,
Nuno,Barbosa,Tecnico de Marketing,Marketing,Cristina Azevedo,2018-08-30,nuno.barbosa@nortada.local,912 156 940,normal,Operacoes
Vítor,Marques,Diretor de Operações,Operacoes,Ricardo Almeida,2015-09-14,vitor.marques@nortada.local,913 609 482,normal,
Sandra,Pinheiro,Tecnico de Operacoes,Operacoes,Vítor Marques,2019-02-25,sandra.pinheiro@nortada.local,914 728 351,normal,
Luís,Antunes,Tecnico de Operacoes,Operacoes,Vítor Marques,2020-10-05,luis.antunes@nortada.local,916 890 273,normal,
Joana,Salgado,Técnica de Logística,Operacoes,Vítor Marques,2021-12-01,joana.salgado@nortada.local,917 415 869,normal,
Helena,Fernandes,Técnica de Armazém,Operacoes,Vítor Marques,2017-05-19,helena.fernandes@nortada.local,918 253 607,normal,Financeira
Duarte,Rocha,Tecnico de Operacoes,Operacoes,Vítor Marques,2022-03-08,duarte.rocha@nortada.local,919 076 428,normal,
Svc,Backup,Conta de Serviço de Backup,IT,,2020-01-15,svc.backup@nortada.local,,servico,
